State  Recv-Q Send-Q       Local Address:Port  Peer Address:Port
LISTEN 0      511              127.0.0.1:42577      0.0.0.0:*   
LISTEN 0      4096             127.0.0.1:46605      0.0.0.0:*   
LISTEN 0      4096             127.0.0.1:46793      0.0.0.0:*   
LISTEN 0      4096             127.0.0.1:7890       0.0.0.0:*   
LISTEN 0      511                0.0.0.0:5678       0.0.0.0:*   
LISTEN 0      511              127.0.0.1:42081      0.0.0.0:*   
LISTEN 0      10               127.0.0.1:9222       0.0.0.0:*   
LISTEN 0      511              127.0.0.1:45997      0.0.0.0:*   
LISTEN 0      4096             127.0.0.1:631        0.0.0.0:*   
LISTEN 0      4096             127.0.0.1:43541      0.0.0.0:*   
LISTEN 0      4096            198.18.0.1:40253      0.0.0.0:*   
LISTEN 0      4096                 [::1]:631           [::]:*   
LISTEN 0      4096                     *:1053             *:*   
LISTEN 0      50                       *:1716             *:*   
LISTEN 0      511                      *:45203            *:*   
LISTEN 0      4096   [fdfe:dcba:9876::1]:45153         [::]:*   
